# Terminal total base-two S2; error is the standard error of the mean.
N	T	theta_M	Nr	S2_mean	S2_sem
6	200	0.0001	50	3.164564664937173e-07	3.542743139235566e-08
6	200	0.0002782559402207126	50	3.5220712952012752e-06	3.7242627962180944e-07
6	200	0.000774263682681127	50	1.8584743016469315e-05	2.265877667472082e-06
6	200	0.002154434690031882	50	0.00017114418368532484	2.0566248316684173e-05
6	200	0.005994842503189409	50	0.001021789507463545	0.0001793816425953476
6	200	0.016681005372000592	50	0.008747706717098949	0.0007952511797217612
6	200	0.046415888336127774	50	0.0929073543932223	0.012366492044693245
6	200	0.12915496650148828	50	0.49121544300804787	0.0368627903383618
6	200	0.3593813663804626	50	1.4388304380481332	0.05603217933416035
6	200	1.0	50	2.1001763334173686	0.06335173369185021
8	500	0.0001	50	1.4664016455099007e-06	1.5847794178729327e-07
8	500	0.0002782559402207126	50	1.0238206014755339e-05	1.0240741437602726e-06
8	500	0.000774263682681127	50	8.8979916270575e-05	1.171280035163562e-05
8	500	0.002154434690031882	50	0.0006705512094429582	8.453425551924777e-05
8	500	0.005994842503189409	50	0.0047304885246021965	0.0005554039635919166
8	500	0.016681005372000592	50	0.03472281002155817	0.0042515880039627136
8	500	0.046415888336127774	50	0.2923760252522378	0.028241983217778648
8	500	0.12915496650148828	50	1.058841888982177	0.05155665625205732
8	500	0.3593813663804626	50	2.7886683842744766	0.0818276940662618
8	500	1.0	50	3.8839713451180073	0.08088149206840842
10	1000	0.0001	30	4.462541107540019e-06	5.930322413585669e-07
10	1000	0.0002782559402207126	30	3.7747735707416907e-05	4.8463225937972255e-06
10	1000	0.000774263682681127	30	0.0003033034759153093	4.6898122279676596e-05
10	1000	0.002154434690031882	30	0.001853820083126568	0.00015563091998242815
10	1000	0.005994842503189409	30	0.01664282196200702	0.0020931016504911596
10	1000	0.016681005372000592	30	0.09398754493930654	0.00960291338842193
10	1000	0.046415888336127774	30	0.746176586077887	0.05783358784657228
10	1000	0.12915496650148828	30	2.2607012461827347	0.09184196225438147
10	1000	0.3593813663804626	30	4.419313264371627	0.0938271177078124
10	1000	1.0	30	5.805344310236001	0.07572242585772593
12	2000	0.0001	20	1.1665364692399183e-05	1.2579498822791174e-06
12	2000	0.0002782559402207126	20	9.652787616611083e-05	9.218027208610157e-06
12	2000	0.000774263682681127	20	0.0006860067982532125	4.687770399582701e-05
12	2000	0.002154434690031882	20	0.005982620722853662	0.0007585959240618859
12	2000	0.005994842503189409	20	0.04256933951190326	0.003336753403768365
12	2000	0.016681005372000592	20	0.3366235991299758	0.027105636742396043
12	2000	0.046415888336127774	20	1.524914224715006	0.09263911660425067
12	2000	0.12915496650148828	20	3.728999688651986	0.11227520900315978
12	2000	0.3593813663804626	20	6.144769516081448	0.1423139922508843
12	2000	1.0	20	7.651443704744727	0.12676900947540326
