# Terminal base-two Gross mana; error is the standard error of the mean.
d	N	T	theta_M	Nr	mana_mean	mana_sem
3	2	500	0.0001	50	0.00013411778760757422	1.4948457717382947e-05
3	2	500	0.0002782559402207126	50	0.0005132731259761765	4.339075661677725e-05
3	2	500	0.000774263682681127	50	0.001301458619144088	0.00011881442525846855
3	2	500	0.002154434690031882	50	0.0033813036912011445	0.0003076000145759921
3	2	500	0.005994842503189409	50	0.011336077020939637	0.0009848929167144724
3	2	500	0.016681005372000592	50	0.02171125734485806	0.002427925533178809
3	2	500	0.046415888336127774	50	0.08421192622789951	0.007139742848694879
3	2	500	0.12915496650148828	50	0.18670076432285537	0.01801368001750595
3	2	500	0.3593813663804626	50	0.3975511747289644	0.027113583041331622
3	2	500	1.0	50	0.4569584612144989	0.03471510126210726
3	3	500	0.0001	50	0.0005007445288564374	3.9601837377617295e-05
3	3	500	0.0002782559402207126	50	0.001491907701964209	0.00011055213323037711
3	3	500	0.000774263682681127	50	0.004211808549533031	0.00032010420621042616
3	3	500	0.002154434690031882	50	0.012001665050375088	0.0009605885397721075
3	3	500	0.005994842503189409	50	0.03172001394891876	0.001824404775975633
3	3	500	0.016681005372000592	50	0.08100737666558114	0.005389884953107913
3	3	500	0.046415888336127774	50	0.24167769232954617	0.014024062131287924
3	3	500	0.12915496650148828	50	0.5103202760412122	0.02513981584759792
3	3	500	0.3593813663804626	50	0.9371952219449855	0.04009449464344611
3	3	500	1.0	50	1.2308354097925767	0.02705476985245958
3	4	500	0.0001	30	0.001091439800796223	0.00010217715181489037
3	4	500	0.0002782559402207126	30	0.003615920295474559	0.0002976122941019486
3	4	500	0.000774263682681127	30	0.010322365894136291	0.0007809975820648885
3	4	500	0.002154434690031882	30	0.02785243976549208	0.0022772586582026732
3	4	500	0.005994842503189409	30	0.0942294439498189	0.005758549804928882
3	4	500	0.016681005372000592	30	0.19337679440868957	0.01580743574804887
3	4	500	0.046415888336127774	30	0.5133188638970565	0.03193975201759853
3	4	500	0.12915496650148828	30	0.9740341542990542	0.04864121141846511
3	4	500	0.3593813663804626	30	1.635332114299181	0.06789521037503021
3	4	500	1.0	30	1.9139544069481014	0.04351541850988878
5	2	500	0.0001	50	0.0010300345750489223	7.259153225370629e-05
5	2	500	0.0002782559402207126	50	0.003085894985688348	0.00020682695222361248
5	2	500	0.000774263682681127	50	0.006438690946637207	0.0005766710389355726
5	2	500	0.002154434690031882	50	0.019906840126406866	0.0019062266190722718
5	2	500	0.005994842503189409	50	0.061877543781093426	0.005285547045317612
5	2	500	0.016681005372000592	50	0.16089006854406118	0.01238535595951525
5	2	500	0.046415888336127774	50	0.37381866119537	0.0215763946331664
5	2	500	0.12915496650148828	50	0.6264580322001475	0.0334152254567074
5	2	500	0.3593813663804626	50	0.7971854387069451	0.033249987467104995
5	2	500	1.0	50	0.7921425783702775	0.03762868724804228
